السنة ,الربع,المنطقة ,المدينة ,نوع العقار ,مجموع الصفقات,المتوسط
2019,1,الباحة,الباحة,استديو - سكني,7,20100
2019,1,الباحة,العقيق,استديو - سكني,4,9000
2019,1,الباحة,المخواة,استديو - سكني,2,16800
2019,1,الباحة,بلجرشي,استديو - سكني,1,12000
2019,1,الباحة,الباحة,دور - سكني,8,18714.28571
2019,1,الباحة,العقيق,دور - سكني,1,15600
2019,1,الباحة,بلجرشي,دور - سكني,3,26333.33333
2019,1,الباحة,الباحة,شقة - سكني,161,16340.12613
2019,1,الباحة,العقيق,شقة - سكني,31,12265.51724
2019,1,الباحة,المخواة,شقة - سكني,6,12000
2019,1,الباحة,المندق,شقة - سكني,1,15000
2019,1,الباحة,بلجرشي,شقة - سكني,18,13656.25
2019,1,الباحة,بني حسن,شقة - سكني,1,7000
2019,1,الباحة,المخواة,محل - تجاري,4,770.83333
2019,2,الباحة,الباحة,استديو - سكني,1,9600
2019,2,الباحة,العقيق,استديو - سكني,4,8800
2019,2,الباحة,بلجرشي,استديو - سكني,1,12000
2019,2,الباحة,الباحة,دور - سكني,8,14941.625
2019,2,الباحة,العقيق,دور - سكني,3,32500
2019,2,الباحة,قلوة,دور - سكني,1,22800
2019,2,الباحة,الباحة,شقة - سكني,187,16753.53216
2019,2,الباحة,العقيق,شقة - سكني,54,13697.87234
2019,2,الباحة,المخواة,شقة - سكني,12,16100
2019,2,الباحة,المندق,شقة - سكني,2,19000
2019,2,الباحة,بلجرشي,شقة - سكني,22,15476.19048
2019,2,الباحة,قلوة,شقة - سكني,14,16053.84615
2019,2,الباحة,المخواة,محل - تجاري,1,578.57143
2019,3,الباحة,الباحة,استديو - سكني,9,10800
2019,3,الباحة,العقيق,استديو - سكني,3,6600
2019,3,الباحة,المخواة,استديو - سكني,1,6000
2019,3,الباحة,بلجرشي,استديو - سكني,1,12000
2019,3,الباحة,الباحة,دوبلاكس - سكني,1,9600
2019,3,الباحة,الباحة,دور - سكني,6,20351.83333
2019,3,الباحة,العقيق,دور - سكني,7,17714.28571
2019,3,الباحة,المخواة,دور - سكني,1,12000
2019,3,الباحة,الأطاولة,شقة - سكني,3,18818
2019,3,الباحة,الباحة,شقة - سكني,195,16433.79747
2019,3,الباحة,العقيق,شقة - سكني,78,13814.83333
2019,3,الباحة,المخواة,شقة - سكني,5,18600
2019,3,الباحة,المندق,شقة - سكني,3,16533.33333
2019,3,الباحة,بلجرشي,شقة - سكني,55,13649.89796
2019,3,الباحة,بني حسن,شقة - سكني,1,13000
2019,3,الباحة,قلوة,شقة - سكني,18,14600
2019,3,الباحة,الباحة,فيلا - سكني,1,28800
2019,3,الباحة,الباحة,محل - تجاري,18,524.95964
2019,3,الباحة,العقيق,محل - تجاري,1,416.66667
2019,3,الباحة,المخواة,محل - تجاري,1,195.65217
2019,3,الباحة,المندق,محل - تجاري,1,1100
2019,3,الباحة,بلجرشي,محل - تجاري,1,233.33333
2019,4,الباحة,الباحة,استديو - سكني,16,12415.38462
2019,4,الباحة,العقيق,استديو - سكني,4,9000
2019,4,الباحة,بلجرشي,استديو - سكني,1,9600
2019,4,الباحة,الباحة,دور - سكني,10,17075
2019,4,الباحة,العقيق,دور - سكني,2,15000
2019,4,الباحة,المخواة,دور - سكني,1,14000
2019,4,الباحة,بلجرشي,دور - سكني,1,16000
2019,4,الباحة,قلوة,دور - سكني,6,12816.66667
2019,4,الباحة,الأطاولة,شقة - سكني,1,21000
2019,4,الباحة,الباحة,شقة - سكني,271,14697.07763
2019,4,الباحة,العقيق,شقة - سكني,97,14012.72727
2019,4,الباحة,المخواة,شقة - سكني,7,13106.42857
2019,4,الباحة,المندق,شقة - سكني,6,17833.33333
2019,4,الباحة,بلجرشي,شقة - سكني,78,12840.25
2019,4,الباحة,بني حسن,شقة - سكني,8,13750
2019,4,الباحة,قلوة,شقة - سكني,15,17280
2019,4,الباحة,الباحة,فيلا - سكني,2,19800
2019,4,الباحة,الباحة,محل - تجاري,30,477.782952
2019,4,الباحة,العقيق,محل - تجاري,2,510
2019,4,الباحة,المخواة,محل - تجاري,1,94.2029
2019,4,الباحة,المندق,محل - تجاري,1,97.08738
2019,4,الباحة,بلجرشي,محل - تجاري,1,425
2019,4,الباحة,قلوة,محل - تجاري,4,420
2019,4,الباحة,الباحة,مكتب - تجاري,2,345
2019,4,الباحة,العقيق,مكتب - تجاري,1,291.66667
2020,1,الباحة,الباحة,استديو - سكني,26,11988.23529
2020,1,الباحة,العقيق,استديو - سكني,8,8500
2020,1,الباحة,المخواة,استديو - سكني,2,6000
2020,1,الباحة,بلجرشي,استديو - سكني,1,12000
2020,1,الباحة,بلجرشي,دوبلاكس - سكني,1,49090
2020,1,الباحة,الباحة,دور - سكني,10,25146
2020,1,الباحة,العقيق,دور - سكني,6,16633.2
2020,1,الباحة,بلجرشي,دور - سكني,5,15800
2020,1,الباحة,قلوة,دور - سكني,1,12000
2020,1,الباحة,الباحة,شقة - سكني,223,14944.47594
2020,1,الباحة,العقيق,شقة - سكني,129,11820.10101
2020,1,الباحة,المخواة,شقة - سكني,21,12218.05882
2020,1,الباحة,المندق,شقة - سكني,3,13333.33333
2020,1,الباحة,بلجرشي,شقة - سكني,65,13304.90909
2020,1,الباحة,بني حسن,شقة - سكني,7,15357.5
2020,1,الباحة,قلوة,شقة - سكني,32,12726.66667
2020,1,الباحة,الباحة,محل - تجاري,13,544.465048
2020,1,الباحة,العقيق,محل - تجاري,2,233.333335
2020,1,الباحة,بلجرشي,محل - تجاري,7,450.352942
2020,1,الباحة,قلوة,محل - تجاري,3,516.666666
2020,1,الباحة,الباحة,مكتب - تجاري,2,201.11111
2020,1,الباحة,العقيق,مكتب - تجاري,1,168
2020,2,الباحة,الباحة,استديو - سكني,13,10015.38462
2020,2,الباحة,العقيق,استديو - سكني,3,7500
2020,2,الباحة,المخواة,استديو - سكني,2,6600
2020,2,الباحة,بلجرشي,استديو - سكني,5,10560
2020,2,الباحة,قلوة,استديو - سكني,2,7200
2020,2,الباحة,الباحة,دور - سكني,8,19562.5
2020,2,الباحة,العقيق,دور - سكني,3,14466.66667
2020,2,الباحة,المخواة,دور - سكني,1,24000
2020,2,الباحة,بلجرشي,دور - سكني,1,19000
2020,2,الباحة,قلوة,دور - سكني,5,9640
2020,2,الباحة,الأطاولة,شقة - سكني,1,15000
2020,2,الباحة,الباحة,شقة - سكني,259,14410.69528
2020,2,الباحة,العقيق,شقة - سكني,71,11588.15873
2020,2,الباحة,المخواة,شقة - سكني,14,11700
2020,2,الباحة,المندق,شقة - سكني,5,9800
2020,2,الباحة,بلجرشي,شقة - سكني,117,13384.48077
2020,2,الباحة,بني حسن,شقة - سكني,2,13818
2020,2,الباحة,قلوة,شقة - سكني,37,10037.4
2020,2,الباحة,الباحة,فيلا - سكني,1,44000
2020,2,الباحة,الباحة,محل - تجاري,14,378.467521
2020,2,الباحة,العقيق,محل - تجاري,5,430.756196
2020,2,الباحة,بلجرشي,محل - تجاري,9,428.974266
2020,2,الباحة,قلوة,محل - تجاري,2,610
2020,2,الباحة,الباحة,مكتب - تجاري,2,87.5
2020,2,الباحة,المخواة,مكتب - تجاري,1,222.22222
2020,2,الباحة,بلجرشي,مكتب - تجاري,1,204.54546
2020,3,الباحة,الباحة,استديو - سكني,34,11984
2020,3,الباحة,العقيق,استديو - سكني,11,8345.454545
2020,3,الباحة,المخواة,استديو - سكني,3,11466.66667
2020,3,الباحة,المندق,استديو - سكني,1,6000
2020,3,الباحة,بلجرشي,استديو - سكني,4,7500
2020,3,الباحة,قلوة,استديو - سكني,9,8575
2020,3,الباحة,قلوة,دوبلاكس - سكني,1,9000
2020,3,الباحة,الباحة,دور - سكني,14,17200
2020,3,الباحة,العقيق,دور - سكني,7,15849.28571
2020,3,الباحة,المخواة,دور - سكني,1,12000
2020,3,الباحة,المندق,دور - سكني,1,23000
2020,3,الباحة,بلجرشي,دور - سكني,11,10857.14286
2020,3,الباحة,قلوة,دور - سكني,3,15333.33333
2020,3,الباحة,الأطاولة,شقة - سكني,1,6000
2020,3,الباحة,الباحة,شقة - سكني,415,15484.36709
2020,3,الباحة,العقيق,شقة - سكني,112,13037.41489
2020,3,الباحة,المخواة,شقة - سكني,68,12694.82
2020,3,الباحة,المندق,شقة - سكني,16,10810.26667
2020,3,الباحة,بلجرشي,شقة - سكني,173,12745.31081
2020,3,الباحة,بني حسن,شقة - سكني,12,10000
2020,3,الباحة,قلوة,شقة - سكني,104,10028.87671
2020,3,الباحة,الباحة,فيلا - سكني,2,37500
2020,3,الباحة,الأطاولة,محل - تجاري,1,454.54546
2020,3,الباحة,الباحة,محل - تجاري,110,742.302497
2020,3,الباحة,العقيق,محل - تجاري,23,349.434317
2020,3,الباحة,المخواة,محل - تجاري,12,478.277525
2020,3,الباحة,المندق,محل - تجاري,6,209.083454
2020,3,الباحة,بلجرشي,محل - تجاري,39,361.116056
