year,quarter,region_ar,city_ar,Category,total_deals,average
2023,1,المنطقة الشرقية,الخبر,استديو - سكني,1503,13239.20313
2023,1,المنطقة الشرقية,الدمام,استديو - سكني,2515,12176.44784
2023,1,المنطقة الشرقية,الخبر,دوبلاكس - سكني,165,56401.83803
2023,1,المنطقة الشرقية,الدمام,دوبلاكس - سكني,334,40152.61049
2023,1,المنطقة الشرقية,الخبر,دور - سكني,225,28800.26667
2023,1,المنطقة الشرقية,الدمام,دور - سكني,516,26399.17783
2023,1,المنطقة الشرقية,الخبر,شقة - سكني,14594,18948.03709
2023,1,المنطقة الشرقية,الدمام,شقة - سكني,28130,16941.14278
2023,1,المنطقة الشرقية,الخبر,فيلا - سكني,753,79149.3864
2023,1,المنطقة الشرقية,الدمام,فيلا - سكني,574,50602.11506
2023,1,المنطقة الشرقية,الخبر,محل - تجاري,2258,663.46795
2023,1,المنطقة الشرقية,الدمام,محل - تجاري,5150,767.993973
2023,1,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,481,753.90808
2023,1,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,1129,805.252073
2023,1,المنطقة الشرقية,الخبر,مكتب - تجاري,1019,449.081495
2023,1,المنطقة الشرقية,الدمام,مكتب - تجاري,1194,334.446189
2023,2,المنطقة الشرقية,الخبر,استديو - سكني,1397,13727.93107
2023,2,المنطقة الشرقية,الدمام,استديو - سكني,2608,11476.90973
2023,2,المنطقة الشرقية,الخبر,دوبلاكس - سكني,146,53675.84112
2023,2,المنطقة الشرقية,الدمام,دوبلاكس - سكني,237,40804.73488
2023,2,المنطقة الشرقية,الخبر,دور - سكني,161,29649.20635
2023,2,المنطقة الشرقية,الدمام,دور - سكني,460,26891.85908
2023,2,المنطقة الشرقية,الخبر,شقة - سكني,14436,19451.76255
2023,2,المنطقة الشرقية,الدمام,شقة - سكني,26816,16674.25572
2023,2,المنطقة الشرقية,الخبر,فيلا - سكني,887,77620.38412
2023,2,المنطقة الشرقية,الدمام,فيلا - سكني,527,52961.18224
2023,2,المنطقة الشرقية,الخبر,محل - تجاري,1778,678.093998
2023,2,المنطقة الشرقية,الدمام,محل - تجاري,3848,749.515726
2023,2,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,517,902.432047
2023,2,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,561,774.148795
2023,2,المنطقة الشرقية,الخبر,مكتب - تجاري,701,429.473712
2023,2,المنطقة الشرقية,الدمام,مكتب - تجاري,904,347.23375
2023,3,المنطقة الشرقية,الخبر,استديو - سكني,1467,14099.29104
2023,3,المنطقة الشرقية,الدمام,استديو - سكني,3412,12020.79251
2023,3,المنطقة الشرقية,الخبر,دوبلاكس - سكني,133,47639.22764
2023,3,المنطقة الشرقية,الدمام,دوبلاكس - سكني,284,43965.70817
2023,3,المنطقة الشرقية,الخبر,دور - سكني,230,27881.81865
2023,3,المنطقة الشرقية,الدمام,دور - سكني,541,26606.30905
2023,3,المنطقة الشرقية,الخبر,شقة - سكني,17040,20264.06086
2023,3,المنطقة الشرقية,الدمام,شقة - سكني,31765,17073.07881
2023,3,المنطقة الشرقية,الخبر,فيلا - سكني,966,80773.13365
2023,3,المنطقة الشرقية,الدمام,فيلا - سكني,683,52740.45
2023,3,المنطقة الشرقية,الخبر,محل - تجاري,2185,625.844984
2023,3,المنطقة الشرقية,الدمام,محل - تجاري,5109,1011.118699
2023,3,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,512,828.197078
2023,3,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,725,705.90407
2023,3,المنطقة الشرقية,الخبر,مكتب - تجاري,1187,420.993195
2023,3,المنطقة الشرقية,الدمام,مكتب - تجاري,999,347.541317
2023,4,المنطقة الشرقية,الخبر,استديو - سكني,1606,13821.03668
2023,4,المنطقة الشرقية,الدمام,استديو - سكني,3181,11974.02776
2023,4,المنطقة الشرقية,الخبر,دوبلاكس - سكني,170,53911.9863
2023,4,المنطقة الشرقية,الدمام,دوبلاكس - سكني,339,44332.82848
2023,4,المنطقة الشرقية,الخبر,دور - سكني,251,31429.5098
2023,4,المنطقة الشرقية,الدمام,دور - سكني,589,27723.82365
2023,4,المنطقة الشرقية,الخبر,شقة - سكني,18490,19650.96307
2023,4,المنطقة الشرقية,الدمام,شقة - سكني,35139,17099.80189
2023,4,المنطقة الشرقية,الخبر,فيلا - سكني,878,83883.00254
2023,4,المنطقة الشرقية,الدمام,فيلا - سكني,731,51931.45051
2023,4,المنطقة الشرقية,الخبر,محل - تجاري,2380,651.900226
2023,4,المنطقة الشرقية,الدمام,محل - تجاري,4942,693.939053
2023,4,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,637,683.733506
2023,4,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,783,767.16122
2023,4,المنطقة الشرقية,الخبر,مكتب - تجاري,1020,437.54717
2023,4,المنطقة الشرقية,الدمام,مكتب - تجاري,1296,338.93598
2024,1,المنطقة الشرقية,الخبر,استديو - سكني,2183,12997.15101
