year,quarter,region_ar,city_ar,Category,total_deals,average
2019,1,المدينة المنورة,المدينة المنورة,استديو - سكني,61,10951.75439
2019,1,المدينة المنورة,بدر,استديو - سكني,2,9600
2019,1,المدينة المنورة,ينبع,استديو - سكني,2,11400
2019,1,المدينة المنورة,المدينة المنورة,دوبلاكس - سكني,20,32842.10526
2019,1,المدينة المنورة,المدينة المنورة,دور - سكني,22,23186.13636
2019,1,المدينة المنورة,خيبر,دور - سكني,1,9600
2019,1,المدينة المنورة,ينبع,دور - سكني,2,23500
2019,1,المدينة المنورة,الحناكية,شقة - سكني,4,8250
2019,1,المدينة المنورة,العلا,شقة - سكني,1,15600
2019,1,المدينة المنورة,المدينة المنورة,شقة - سكني,2677,17193.87075
2019,1,المدينة المنورة,بدر,شقة - سكني,8,13250
2019,1,المدينة المنورة,خيبر,شقة - سكني,1,13090
2019,1,المدينة المنورة,مهد الذهب,شقة - سكني,2,12000
2019,1,المدينة المنورة,ينبع,شقة - سكني,359,14894.33808
2019,1,المدينة المنورة,المدينة المنورة,فيلا - سكني,24,41263.04348
2019,1,المدينة المنورة,ينبع,فيلا - سكني,2,12000
2019,1,المدينة المنورة,المدينة المنورة,محل - تجاري,17,464.938373
2019,1,المدينة المنورة,خيبر,محل - تجاري,1,102.5641
2019,1,المدينة المنورة,ينبع,محل - تجاري,16,341.483477
2019,1,المدينة المنورة,المدينة المنورة,مكتب - تجاري,7,298.260166
2019,1,المدينة المنورة,ينبع,مكتب - تجاري,1,300
2019,2,المدينة المنورة,المدينة المنورة,استديو - سكني,132,10150
2019,2,المدينة المنورة,ينبع,استديو - سكني,1,10200
2019,2,المدينة المنورة,المدينة المنورة,دوبلاكس - سكني,15,28539
2019,2,المدينة المنورة,ينبع,دوبلاكس - سكني,1,26500
2019,2,المدينة المنورة,المدينة المنورة,دور - سكني,30,23525.22222
2019,2,المدينة المنورة,بدر,دور - سكني,1,12000
2019,2,المدينة المنورة,ينبع,دور - سكني,2,50000
2019,2,المدينة المنورة,الحناكية,شقة - سكني,3,6000
2019,2,المدينة المنورة,العلا,شقة - سكني,4,16550
2019,2,المدينة المنورة,المدينة المنورة,شقة - سكني,2666,17128.92324
2019,2,المدينة المنورة,بدر,شقة - سكني,1,10000
2019,2,المدينة المنورة,مهد الذهب,شقة - سكني,3,6000
2019,2,المدينة المنورة,ينبع,شقة - سكني,300,15937.54924
2019,2,المدينة المنورة,المدينة المنورة,فيلا - سكني,23,37083.54545
2019,2,المدينة المنورة,المدينة المنورة,محل - تجاري,61,471.261082
2019,2,المدينة المنورة,ينبع,محل - تجاري,21,342.612904
2019,2,المدينة المنورة,المدينة المنورة,معرض تجاري - تجاري,1,995.04951
2019,2,المدينة المنورة,المدينة المنورة,مكتب - تجاري,6,424.543005
2019,2,المدينة المنورة,ينبع,مكتب - تجاري,3,391.891895
2019,3,المدينة المنورة,المدينة المنورة,استديو - سكني,88,11300
