السنة ,الربع,المنطقة ,المدينة ,نوع العقار ,مجموع الصفقات,المتوسط
2019,1,مكة المكرمة,الطائف,استديو - سكني,9,11925
2019,1,مكة المكرمة,القنفذة - القوز,استديو - سكني,2,8800
2019,1,مكة المكرمة,الليث,استديو - سكني,1,9600
2019,1,مكة المكرمة,جدة,استديو - سكني,418,13383.19444
2019,1,مكة المكرمة,مكة المكرمة,استديو - سكني,29,10051.85185
2019,1,مكة المكرمة,الجموم - بحرة,دوبلاكس - سكني,1,18000
2019,1,مكة المكرمة,الطائف,دوبلاكس - سكني,1,30000
2019,1,مكة المكرمة,جدة,دوبلاكس - سكني,126,61563.93388
2019,1,مكة المكرمة,مكة المكرمة,دوبلاكس - سكني,15,26849.46667
2019,1,مكة المكرمة,الجموم,دور - سكني,1,18000
2019,1,مكة المكرمة,الجموم - بحرة,دور - سكني,3,12800
2019,1,مكة المكرمة,الطائف,دور - سكني,105,22847.01064
2019,1,مكة المكرمة,القنفذة,دور - سكني,1,24000
2019,1,مكة المكرمة,الليث,دور - سكني,1,100000
2019,1,مكة المكرمة,تربة,دور - سكني,2,11400
2019,1,مكة المكرمة,جدة,دور - سكني,184,31736.1195
2019,1,مكة المكرمة,رابغ,دور - سكني,5,35600
2019,1,مكة المكرمة,رنية,دور - سكني,1,12000
2019,1,مكة المكرمة,مكة المكرمة,دور - سكني,102,31687.27941
2019,1,مكة المكرمة,الجموم - بحرة,شقة - سكني,38,15812.69697
2019,1,مكة المكرمة,الطائف,شقة - سكني,1099,16053
2019,1,مكة المكرمة,القنفذة,شقة - سكني,121,16270.53922
2019,1,مكة المكرمة,القنفذة - القوز,شقة - سكني,14,18261
2019,1,مكة المكرمة,الليث,شقة - سكني,50,14250.36364
2019,1,مكة المكرمة,تربة,شقة - سكني,5,11320
2019,1,مكة المكرمة,ثول,شقة - سكني,7,16688.28571
2019,1,مكة المكرمة,جدة,شقة - سكني,17180,20902.82692
2019,1,مكة المكرمة,خليص,شقة - سكني,30,12528
2019,1,مكة المكرمة,رابغ,شقة - سكني,43,15740.17073
2019,1,مكة المكرمة,رنية,شقة - سكني,13,6923.076923
2019,1,مكة المكرمة,مكة المكرمة,شقة - سكني,3528,17934.78938
2019,1,مكة المكرمة,الطائف,فيلا - سكني,2,38100
2019,1,مكة المكرمة,تربة,فيلا - سكني,1,13200
2019,1,مكة المكرمة,جدة,فيلا - سكني,244,80004.79736
2019,1,مكة المكرمة,خليص,فيلا - سكني,1,9600
