السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,القصيم,البدائع,استديو - سكني,1,12000
2019,1,القصيم,البكيرية,استديو - سكني,3,7100
2019,1,القصيم,الرس,استديو - سكني,5,13900
2019,1,القصيم,بريدة,استديو - سكني,34,9700
2019,1,القصيم,رياض الخبراء,استديو - سكني,5,10600
2019,1,القصيم,عنيزة,استديو - سكني,54,9910.638297
2019,1,القصيم,البصر,دوبلاكس - سكني,2,17000
2019,1,القصيم,البكيرية,دوبلاكس - سكني,2,21568
2019,1,القصيم,الرس,دوبلاكس - سكني,6,20000
2019,1,القصيم,المذنب,دوبلاكس - سكني,3,11666.66667
2019,1,القصيم,بريدة,دوبلاكس - سكني,23,23989.59091
2019,1,القصيم,رياض الخبراء,دوبلاكس - سكني,2,15000
2019,1,القصيم,عنيزة,دوبلاكس - سكني,12,22929.72727
2019,1,القصيم,البدائع,دور - سكني,20,11663.15789
2019,1,القصيم,البكيرية,دور - سكني,9,16596.375
2019,1,القصيم,الخبراء والسحابين,دور - سكني,4,18666.66667
2019,1,القصيم,الرس,دور - سكني,57,18823.46154
2019,1,القصيم,المذنب,دور - سكني,13,15000
2019,1,القصيم,بريدة,دور - سكني,68,17305.98305
2019,1,القصيم,رياض الخبراء,دور - سكني,10,16780
2019,1,القصيم,عنيزة,دور - سكني,116,15059.90291
2019,1,القصيم,عيون الجواء,دور - سكني,4,16500
2019,1,القصيم,قصرابن عقيل,دور - سكني,1,13000
2019,1,القصيم,البدائع,شقة - سكني,34,13216.93333
2019,1,القصيم,البصر,شقة - سكني,7,7933.333333
2019,1,القصيم,البكيرية,شقة - سكني,31,10094.48
2019,1,القصيم,الخبراء والسحابين,شقة - سكني,9,13000
2019,1,القصيم,الرس,شقة - سكني,151,12327.80147
2019,1,القصيم,القوارة,شقة - سكني,1,12000
2019,1,القصيم,المذنب,شقة - سكني,13,9781.538461
2019,1,القصيم,بريدة,شقة - سكني,835,12173.94342
