السنة ,الربع,المنطقة ,المدينة ,نوع العقار ,مجموع الصفقات,المتوسط
2019,1,الرياض,الجبيلة,استديو - سكني,1,8400
2019,1,الرياض,الخرج,استديو - سكني,15,9300
2019,1,الرياض,الدرعية,استديو - سكني,14,9071.428571
2019,1,الرياض,الدلم,استديو - سكني,1,6000
2019,1,الرياض,الدوادمي,استديو - سكني,5,5500
2019,1,الرياض,الرياض,استديو - سكني,704,14429.12963
2019,1,الرياض,الزلفي,استديو - سكني,3,12250
2019,1,الرياض,المجمعة,استديو - سكني,20,7041.17647
2019,1,الرياض,الهياثم,استديو - سكني,1,6500
2019,1,الرياض,حوطه بنى تميم,استديو - سكني,2,9750
2019,1,الرياض,رماح,استديو - سكني,1,14400
2019,1,الرياض,شقراء,استديو - سكني,4,5875
2019,1,الرياض,وادي الدواسر,استديو - سكني,2,22000
2019,1,الرياض,الأفلاج,دوبلاكس - سكني,1,13000
2019,1,الرياض,الخرج,دوبلاكس - سكني,4,22750
2019,1,الرياض,الدرعية,دوبلاكس - سكني,4,97295.25
2019,1,الرياض,الدلم,دوبلاكس - سكني,2,14500
2019,1,الرياض,الدوادمي,دوبلاكس - سكني,10,17777.77778
2019,1,الرياض,الرياض,دوبلاكس - سكني,429,45455.11736
2019,1,الرياض,المجمعة,دوبلاكس - سكني,4,19375
2019,1,الرياض,شقراء,دوبلاكس - سكني,2,10750
2019,1,الرياض,ضرما,دوبلاكس - سكني,2,18000
2019,1,الرياض,الأفلاج,دور - سكني,4,10704.5
2019,1,الرياض,الحريق - الحريق,دور - سكني,1,8666
2019,1,الرياض,الخرج,دور - سكني,47,17188.87805
2019,1,الرياض,الدرعية,دور - سكني,52,24557.375
2019,1,الرياض,الدلم,دور - سكني,7,17714.28571
2019,1,الرياض,الدوادمي,دور - سكني,11,17863.63636
2019,1,الرياض,الرياض,دور - سكني,3067,30732.39859
2019,1,الرياض,الزلفي,دور - سكني,5,14136.2
2019,1,الرياض,السليل,دور - سكني,1,19636
2019,1,الرياض,الغاط,دور - سكني,1,10000
2019,1,الرياض,القويعية,دور - سكني,1,24000
2019,1,الرياض,المجمعة,دور - سكني,6,14566.66667
2019,1,الرياض,المزاحمية,دور - سكني,7,19142.85714
2019,1,الرياض,جلاجل,دور - سكني,2,13636
2019,1,الرياض,حريملاء,دور - سكني,3,12333.33333
2019,1,الرياض,حوطه بنى تميم,دور - سكني,7,17214.28571
2019,1,الرياض,حوطه سدير,دور - سكني,3,11666.66667
2019,1,الرياض,رماح,دور - سكني,6,19200
2019,1,الرياض,ساجر,دور - سكني,1,18000
2019,1,الرياض,شقراء,دور - سكني,10,11427.2
2019,1,الرياض,ضرما,دور - سكني,8,36000
2019,1,الرياض,مرات,دور - سكني,1,15000
2019,1,الرياض,وادي الدواسر,دور - سكني,1,14000
2019,1,الرياض,أشيقر,شقة - سكني,1,28000
2019,1,الرياض,الأفلاج,شقة - سكني,13,9310.416666
2019,1,الرياض,الجبيلة,شقة - سكني,7,14171.42857
2019,1,الرياض,الخرج,شقة - سكني,225,13455.82927
2019,1,الرياض,الدرعية,شقة - سكني,129,16231.58678
2019,1,الرياض,الدلم,شقة - سكني,28,13600.96296
2019,1,الرياض,الدوادمي,شقة - سكني,36,11005.75758
