السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الرياض,مرات,الشفاء,دور,سكني,1,26000,173.33
2026,1,الرياض,الدوادمي,طيبة,فيلا,سكني,27,12900,42.26
2026,1,الرياض,الجمش,الحلوه,شقة,سكني,1,17500,87.5
2026,1,الرياض,المجمعة,الأندلس,دور,سكني,11,14650,69.84
2026,1,الرياض,الرين,الملك فيصل,محل,تجاري,6,0,0
2026,1,الرياض,الرياض,المعذر,معرض تجاري,تجاري,2,0,0
2026,1,الرياض,الدوادمي,الملك فهد,استديو,سكني,3,6166.66,126.89
2026,1,الرياض,الرياض,الشفاء,دوبلاكس,سكني,6,30600,159.62
2026,1,الرياض,المزاحمية,نوارة,فيلا,سكني,4,29000,81.9
2026,1,الرياض,الحصاة,الأندلس,شقة,سكني,4,14500,100
2026,1,الرياض,المجمعة,الملك عبدالعزيز,محل,تجاري,58,0,0
2026,1,الرياض,الرياض,سلطانة,فيلا,سكني,13,42636.36,96.14
2026,1,الرياض,ثادق,العقيق,شقة,سكني,5,12666.66,85.39
2026,1,الرياض,مجموعه مزارع شعيب ملهم,مجموعه مزارع شعيب ملهم,محل,تجاري,2,0,0
2026,1,الرياض,الأرطاوية,الخليج,معرض تجاري,تجاري,13,0,0
2026,1,الرياض,الدوادمي - البجادية,الملك فيصل,محل,تجاري,1,0,0
2026,1,الرياض,الخرج,النخيل,محل,تجاري,4,0,0
2026,1,الرياض,الغاط,غرناطة,دور,سكني,3,12500,83.33
2026,1,الرياض,الرياض,الجزيرة,دور,سكني,140,47007.39,201.9
2026,1,الرياض,الرياض,بدر,معرض تجاري,تجاري,62,0,0
2026,1,الرياض,الرين,نجد,محل,تجاري,2,0,0
2026,1,الرياض,الرياض,الصحافة,شقة,سكني,1140,45693.19,371.72
2026,1,الرياض,الخرج,النهضة,مكتب,تجاري,7,0,0
2026,1,الرياض,رماح,المروج,شقة,سكني,19,14749.93,102.99
2026,1,الرياض,الرياض,معكال,دور,سكني,7,15171.42,120.04
2026,1,الرياض,الرياض,الإسكان,استديو,سكني,45,15370.58,414.57
2026,1,الرياض,ضرما,الريان,محل,تجاري,31,0,0
2026,1,الرياض,الرياض,لبن,شقة,سكني,873,29403.72,242.52
2026,1,الرياض,ضرما,البديع الغربي,شقة,سكني,40,14811.11,100.08
2026,1,الرياض,الرياض,الخليج,شقة,سكني,3009,26702.06,248.28
2026,1,الرياض,الرياض,العوالي,شقة,سكني,1169,23783.23,189.58
2026,1,الرياض,القويعية,مخطط رقم 913,محل,تجاري,22,0,0
2026,1,الرياض,الدلم,النخيل,محل,تجاري,1,0,0
2026,1,الرياض,الغاط,الزهور,دور,سكني,2,12000,66.66
2026,1,الرياض,شقراء,الروضة,دور,سكني,19,14461.46,76.9
2026,1,الرياض,الأفلاج,الملك عبدالله,شقة,سكني,5,11500,38.92
2026,1,الرياض,ملهم,ملهم,دور,سكني,24,24333.33,118.28
2026,1,الرياض,ضرما,البديع الغربي,محل,تجاري,16,0,0
2026,1,الرياض,الرياض,القدس,محل,تجاري,154,0,0
2026,1,الرياض,الرين,الرين القديم,دور,سكني,1,6000,40
2026,1,الرياض,مزارع خريمان الغربيه,مزارع خريمان الغربيه,شقة,سكني,1,18000,60
2026,1,الرياض,المجمعة,المستشفى الجامعي,دور,سكني,1,16500,97.05
2026,1,الرياض,الرياض,المؤتمرات,فيلا,سكني,14,157916.66,476.5
2026,1,الرياض,الرياض,الروضة,دوبلاكس,سكني,8,57000,240.81
2026,1,الرياض,الرياض,الصحافة,معرض تجاري,تجاري,54,0,0
2026,1,الرياض,الرياض,عكاظ,شقة,سكني,854,21154.33,174.61
2026,1,الرياض,حوطه بنى تميم,المصيف,دور,سكني,1,18000,90
2026,1,الرياض,القويعية,مخطط رقم 985,استديو,سكني,1,12000,100
2026,1,الرياض,الدلم,الناصرية,محل,تجاري,18,0,0
2026,1,الرياض,الرياض,العارض,معرض تجاري,تجاري,112,0,0
2026,1,الرياض,المزاحمية,الصقورية,شقة,سكني,35,19590,169.05
