السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,الرياض,الرياض,فيلا,سكني,2045,4213824340,944724.503,4298.830303,18729.99109,325
2026,1,الرياض,الزلفي,دوبلكس,سكني,2,200000,444.28,NULL,NULL,NULL
2026,1,الرياض,مرات,فيلا,سكني,2,110000,938.77,NULL,NULL,NULL
2026,1,الرياض,المزاحمية,أرض,سكني,36,20026936.37,63783.32,340.1115659,1282.05,100
2026,1,الرياض,الزلفي,أرض,سكني,136,25683742.65,165994.3047,323.5965954,681.82,2.96
2026,1,الرياض,الدلم,أرض,سكني,79,28005914.31,96334.93,208.479594,483.33,91.83
2026,1,الرياض,جلاجل,أرض,سكني,7,1425000,4992,289.8286548,312.5,269.4235589
2026,1,الرياض,حريملاء,أرض,سكني,37,24249592.27,24483.34,1022.855298,1471.23,674.6
2026,1,الرياض,المزاحمية,دوبلكس,سكني,2,1930000,792.79,NULL,NULL,NULL
2026,1,الرياض,ثادق,أرض,سكني,48,11726379.85,30954.73,385.4391064,480.11,208.7
2026,1,الرياض,الزلفي,شقة,سكني,1,115000,122,NULL,NULL,NULL
2026,1,الرياض,ضرما,فيلا,سكني,1,185000,630,NULL,NULL,NULL
2026,1,الرياض,الدلم,فيلا,سكني,7,3031072.59,3556.73,451.1278195,709.2198582,184.2105263
2026,1,الرياض,الدوادمي,شقة,سكني,1,400000,156.24,NULL,NULL,NULL
2026,1,الرياض,الخرج,أرض,سكني,566,276178262.8,392266.7257,609.706175,3400.15,79.37
2026,1,الرياض,المجمعة,أرض,سكني,241,72605369.06,162435.86,350.956469,2512.82,76.13
2026,1,الرياض,السليل,أرض,سكني,46,9016905.63,28288.27,42.70291799,184.4509653,6.06
2026,1,الرياض,الخرج,فيلا,سكني,53,46824707.68,24293.06,2019.249345,3234.989648,930.6655658
2026,1,الرياض,القويعية,فيلا,سكني,4,1702100,2407.17,NULL,NULL,NULL
2026,1,الرياض,الحريق,دور,سكني,1,200000,137.74,NULL,NULL,NULL
2026,1,الرياض,روضة سدير,فيلا,سكني,2,820258,1073.51,NULL,NULL,NULL
2026,1,الرياض,الدلم,دور,سكني,1,300000,190.58,NULL,NULL,NULL
2026,1,الرياض,مرات,أرض,سكني,45,7289113.61,26791.28,170.0092026,252.8,107.2
2026,1,الرياض,ثادق,فيلا,سكني,1,90000,500,NULL,NULL,NULL
2026,1,الرياض,الدوادمي,أرض,سكني,620,89646514.45,386788.781,55.8870656,343.75,1.08
2026,1,الرياض,المزاحمية,شقة,سكني,12,6768122,2056.19,3169.469073,4101.48,2783.65
2026,1,الرياض,الغاط,أرض,سكني,26,1927300,16594.42,103.3364765,151.52,25.17
2026,1,الرياض,السليل,فيلا,سكني,1,300223.25,266.71,NULL,NULL,NULL
2026,1,الرياض,المجمعة,فيلا,سكني,2,700000,1372,NULL,NULL,NULL
